original,Error,Corrected
විමලාවතී,වචිමලාවතී,වචිමලාවතී
පුවක්පිටියගේ,පුචක්පිටියගේ,පුචක්පිටියගේ
සිරුනී,සිරැනි,සිරැනි
සුදාගරන්,සුදාගරන්,සුදාගරන්
සුබසිංහ,සුබසිංහ,සුබසිංහ
ගමගේ,ගමගේ,ගමගේ
විජය,විජය,විජය
අබ්දුල්,අබ්දුල්,අබ්දුල්
ඉර්ෆාන්,මර්ෆාන්,මර්ෆාන්
නාසිම්,නාසිම්,නාසිම්
කුමාර්,ඔමා,ඔමා
අබේකෝන්,අබේකෝන්,අබේකෝන්
චාන්දනී,චාන්දනී,චාන්දනී
දිසානායකලාගේ,දිසානායකලාගේ,දිසානායකලාගේ
ෆස්නත්,ෆස්නත්,ෆස්නත්
මියුරංග,මියුරංග,මියුරංග
හසිනි,හසිනි,හසිනි
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ජයන්ති,එයන්ති,එයන්ති
දෙහිංග,ඞදෙහිංග,ඞදෙහිංග
නිසාර්දීන්,නිසාරිඳදීන්,නිසාරිඳදීන්
ලහිරු,ලහිරැංං,ලහිරැංං
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
චරිතා,චරතා,චරතා
සංදීප,සංදීප,සංදීප
මොහමඩ්,මොහමඩ්,මොහමඩ්
ඉමේෂා,ඞඉමේෂා,ඞඉමේෂා
ලියනආරච්චිගේ,ලියනආරච්චිගේ,ලියනආරච්චිගේ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ඉල්සාන්,සඉශලේසාන්,සඉශලේසාන්
වැලිකන්දේ,වැලිකන්දේ,වැලිකන්දේ
කිරිවන්නැලිය,කිරිවන්නැලිය,කිරිවන්නැලිය
සුපුන්සලා,සුපුන්සළා,සුපුන්සළා
එදිරිසිංහ,චිදිර්සිංහග,චිදිර්සිංහග
ලක්‍ෂ්මි,ඞලක්ෂමේ,ඞලක්ෂමේ
කුමාරසිංහ,කුමාරසිංහ,කුමාරසිංහ
වෙදකාර,වෙදකාර,වෙදකාර
ගමගේ,ගමගේ,ගමගේ
ආරච්ච්ලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
රනුජ,එනුජ,එනුජ
ඊශ්වරගේ,ඊශ්වරගේ,ඊශ්වරගේ
වයලට්,චයලට්,චයලට්
නිරෝසනා,නිරෝසනා,නිරෝසනා
පියසේන,පියසේන,පියසේන
දළුබඩගේ,දළුබඩඞගේ,දළුබඩඞගේ
අනුශ්කරන්,අනුශ්කරන්,අනුශ්කරන්
පැලවත්ත,පැලචත්ත,පැලචත්ත
වීරසේකර,චීරසේකර,චීරසේකර
ධර්මසුන්දර,ධර්මසුන්දර,ධර්මසුන්දර
වෙල්රාණි,වෙල්රාණි,වෙල්රාණි
ගජනායක,ගජනායක,ගජනායක
සුබ්‍රමනියම්,සුබ්‍රමනියම්,සුබ්‍රමනියම්
කුමාරතුංග,කුමාරතුංග,කුමාරතුංග
දෙවෙලිගොඩ,දෙවෙලිගොඩ,දෙවෙලිගොඩ
හනීෂා,භනීෂා,භනීෂා
ගෙදර,ගෙදර,ගෙදර
මනතුංග,ඈඡමනතුංග,ඈඡමනතුංග
කුමාරි,කුමාර්,කුමාර්
විජේබංඩාර,විජේබංඩාර,විජේබංඩාර
තනුජා,එනුරා,එනුරා
මධුෂානි,ඞඉමධුෂානි,ඞඉමධුෂානි
කොළඹගේ,කොළඹගේ,කොළඹගේ
උම්මා,උදම්මා,උදම්මා
ෂසේන්,ෂපෂසේන්,ෂපෂසේන්
තිලකරත්න,තිලකරත්න,තිලකරත්න
ලක්සායිනි,ලබක්සායිනි,ලබක්සායිනි
ජයලත්,පයලත්,පයලත්
පේඩිගේ,ේශපේඩිගේ,ේශපේඩිගේ
විජයකුමාර්,වචිජයකුමාර්,වචිජයකුමාර්
බෝපිටිය,ශඈබබෝපිටිය,ශඈබබෝපිටිය
පොහොන්වැවේ,පොහොන්වැවේ,පොහොන්වැවේ
චතුරංග,චතුරංග,චතුරංග
සුමිරා,සුටිරා,සුටිරා
නාගේශ්වරි,නාගේශ්වර්,නාගේශ්වර්
මදුසංඛ,මදුසංඛ්,මදුසංඛ්
උපාලි,අරාලි,අරාලි
ආරච්චිල්ලාගේ,ආරච්චිල්ලාගේ,ආරච්චිල්ලාගේ
කුමාර,බමාර,බමාර
මල්කාන්ති,මල්කාන්ති,මල්කාන්ති
රාමයියා,රාමයියා,රාමයියා
මහවිදානගේ,මහවිදානගේ,මහවිදානගේ
ඉම්තාත්,ඬමම්තාත්,ඬමම්තාත්
සත්තියලිංගම්,සත්තියලිංගම්,සත්තියලිංගම්
අනාම්,අනාම්,අනාම්
සමරවික්‍රමසිංහ,සමරවික්‍රමසිංහ,සමරවික්‍රමසිංහ
ගුරුගේ,ඞඝගුරුගේ,ඞඝගුරුගේ
ඒකනායක,ඒකනායක,ඒකනායක
මුතුබංඩාගේ,මුතුබංඩාගේ,මුතුබංඩාගේ
සෝමාවතී,සෝමාවතී,සෝමාවතී
සිල්වා,සිල්වා,සිල්වා
දූවගේ,දුවගේ,දුවගේ
අවිශ්ක,අචිශ්ක,අචිශ්ක
සේනාරත්න,එස්නාරත්න,එස්නාරත්න
දිල්ෂා,රුළ්ෂා,රුළ්ෂා
සකුන්තලා,සකුන්තලා,සකුන්තලා
පුබුදු,පුබුදු,පුබුදු
පතිරණලාගේ,පනිරණලාගේ,පනිරණලාගේ
චන්ද්‍රානි,ඞඝචන්දානි,ඞඝචන්දානි
රාසික්ෆරීද්,රාසික්ෆරද්,රාසික්ෆරද්
පත්මනාතන්,පත්මනාතන්,පත්මනාතන්
ධනංජය,ධනංජය,ධනංජය
සරෝජා,සරෝජා,සරෝජා
සේනානායක,සේනානායක,සේනානායක
කුමාර,බමාර,බමාර
මදූසංඛ,මදූසංඛ්,මදූසංඛ්
චතුරා,චතුර,චතුර
දේවගේ,දේවගේ,දේවගේ
රුවානි,රැචවානි,රැචවානි
තිරුරාසා,උතිරැරාසා,උතිරැරාසා
සුගත්,සුගත්,සුගත්
කුනරත්නම්,කුනරත්නම්,කුනරත්නම්
අමිල,අම්ල,අම්ල
පේඩිගේ,ඞපේඩිගේ,ඞපේඩිගේ
රිස්නා,රඊඑස්නා,රඊඑස්නා
බෝපගේ,බෝපගේ,බෝපගේ
පෙරේරා,පෙරේරා,පෙරේරා
පත්මපාල,පතන්මපාල,පතන්මපාල
වික්‍රමසිංහ,විබඛ්‍රමසිංහ,විබඛ්‍රමසිංහ
මල්ෂා,මල්ෂා,මල්ෂා
ගෙදර,ගෙර,ගෙර
මානිල්ගම,මානිල්ගම,මානිල්ගම
මල්ලැහැ,ඞඈඉමල්ලැනතැ,ඞඈඉමල්ලැනතැ
බස්නායක,බස්නායක,බස්නායක
මනුල,මනුළු,මනුළු
සුරංජි,සුරංජි,සුරංජි
සේපාලී,ඞසේපාලී,ඞසේපාලී
වත්තේ,චත්ත්ේ,චත්ත්ේ
වන්නිගමගේ,චන්නිගමගේ,චන්නිගමගේ
යාසීම්,ඞයසාසීම්,ඞයසාසීම්
මල්ලව,මල්ලව,මල්ලව
හර්ෂ,හර්ෂ,හර්ෂ
චන්ද්‍රානි,චින්දානි,චින්දානි
හොරවල,හොරවල,හොරවල
රුචිරානි,රැචිරානිං,රැචිරානිං
මාතරගේ,මාතරගේ,මාතරගේ
සිල්වා,සිල්වා,සිල්වා
සම්පත්,සම්පත්,සම්පත්
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
ස්වර්ණමාලි,ස්වර්ණමාලි,ස්වර්ණමාලි
තුවාන්,තුවාන්,තුවාන්
වීරසේකර,වීරසේකර,වීරසේකර
නඩරාසා,නඩරාසා,නඩරාසා
ප්‍රියන්තා,ව්‍රියන්තා,ව්‍රියන්තා
මුදියන්සෙලාගේ,මුද්‍රියන්සෙලාගේ,මුද්‍රියන්සෙලාගේ
රත්නායකගේ,රත්නායකගේ,රත්නායකගේ
ෂෙහාන්,ෂෙහාන්,ෂෙහාන්
අශෝකා,අශෝකා,අශෝකා
ලොරෙටා,ඞලොරෙටා,ඞලොරෙටා
දුල්පිකාර්,දුල්පිකාර්,දුල්පිකාර්
කරුපයියා,කරුපයියා,කරුපයියා
බංඩාර,බංඩාර,බංඩාර
අබ්දුල්,අබ්දුල්,අබ්දුල්
ශාන්ත,ශාන්න,ශාන්න
පෙරේරා,පෙරේරා,පෙරේරා
ධමිත,මිත,මිත
මහේන්ද්‍ර,මහේන්ට්‍ර,මහේන්ට්‍ර
මත්ත,මත්ත,මත්ත
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සම්පත්,සම්පත්,සම්පත්
මොහමඩ්,ඞමොනමඩ්,ඞමොනමඩ්
සෆ්නා,සෆ්නා,සෆ්නා
මොහමඩ්,මොහමඩ්,මොහමඩ්
නිර්මලා,නිර්මලා,නිර්මලා
තිහව,නිව,නිව
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
විදානයගේ,වචිදානයගේ,වචිදානයගේ
නිශාන්තන්,නිශාන්තන්,නිශාන්තන්
සිල්වා,සිල්වා,සිල්වා
‍ප්‍රියන්ත,ප්‍රියන්ත,ප්‍රියන්ත
ගජනායක,ගජනායක,ගජනායක
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
පහල,පනළු,පනළු
සේගුමුහම්මදු,සස්ගුමුහමිමදු,සස්ගුමුහමිමදු
පටබැඳි,පටබැඳි,පටබැඳි
කුමාර,කුමාර,කුමාර
හර්ෂ,හර්ෂ,හර්ෂ
දිසානායක,දිසානායක,දිසානායක
විනුසන්,විනුසන්,විනුසන්
හෙට්ටිආරච්චි,හෙට්ට්ආරච්චි,හෙට්ට්ආරච්චි
සහීම්,සහිච්,සහිච්
චරිතා,චළතා,චළතා
කෞශල්‍යා,කෞශල්‍යා,කෞශල්‍යා
නිශානි,නිශානි,නිශානි
තිලකමුනි,ඞඇතිලකමුනි,ඞඇතිලකමුනි
රූපරත්න,රෑපරත්න,රෑපරත්න
අජීත්,අජිත්,අජිත්
කමල්,බමල්,බමල්
කරුණාරත්න,කරැණාරත්න,කරැණාරත්න
හේවගේ,ඞහනේවගේ,ඞහනේවගේ
සේනානායක,සේනානායක,සේනානායක
ප්‍රභාකර්,ප්‍රහාතර්,ප්‍රහාතර්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
උසනාර්,ේඈඋසනාර්,ේඈඋසනාර්
රෝෂන්,රෝෂන්,රෝෂන්
යසස්වි,ඔසස්වි,ඔසස්වි
කුමාරි,කුමාර,කුමාර
දොමින්ගු,දොමින්ගු,දොමින්ගු
නිරෝෂාන්,නිරෝෂාන්,නිරෝෂාන්
පුරානේ,පුරාඳන්,පුරාඳන්
මානෙල්,මානෙල්,මානෙල්
ප්‍රදීප්,ප්‍රදිප්,ප්‍රදිප්
ජයරත්නගේ,ජයරත්නගේ,ජයරත්නගේ
ෆාතිමා,ෆාතිමා,ෆාතිමා
කරුණාවති,කරැණාවති,කරැණාවති
සමන්මලී,සමන්මලී,සමන්මලී
මධුෂානි,ඞඇමධුෂානි,ඞඇමධුෂානි
ශ්‍යාමලි,ඞශනහමලි,ඞශනහමලි
කල්පිත,කල්පිත,කල්පිත
විජේවර්ධන,වචිජේවර්ධනා,වචිජේවර්ධනා
ඩිලාන්,ඩිලාන්,ඩිලාන්
ප්‍රනාන්දු,ළනාන්දු,ළනාන්දු
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
අනිල,අනිල්,අනිල්
වීරසිංහ,ඨඉචීරසිංහ,ඨඉචීරසිංහ
ලහිරුනි,ඞලහිරුනි,ඞලහිරුනි
සුදර්ශි,සුදර්ශි,සුදර්ශි
ඉබ්‍රාහිම්,අබ්‍රාභනිම්,අබ්‍රාභනිම්
චමින්ද,චම්න්ද,චම්න්ද
එරික්,චික්,චික්
රවීන්,එවන්,එවන්
අප්පුහාමි,අප්පුහාමි,අප්පුහාමි
කුමාර,කුමාර,කුමාර
කිරුපාකරන්,කිරැපාකරන්,කිරැපාකරන්
ආරච්චි,ආරච්චි,ආරච්චි
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
හනිෆා,හනීෆා,හනීෆා
චන්ද්‍රලාල්,චන්ද්‍රලාල්,චන්ද්‍රලාල්
නසාර්,නසාර්,නසාර්
සුනිල්,සුනිල්,සුනිල්
මොහමඩ්,මොහමඩ්,මොහමඩ්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
රම්සීන්,රම්සීන්,රම්සීන්
ප්‍රසාද්,ව්‍රසාද්,ව්‍රසාද්
මධුසංක,ඞේඞමධුසංක,ඞේඞමධුසංක
මහමගේ,මහමගේ,මහමගේ
ධර්මරත්න,ධර්මරත්න,ධර්මරත්න
මුල්ලගේ,මුල්ලගේ,මුල්ලගේ
මංජුලා,මංජුලා,මංජුලා
සඳමාලි,ඬඞසඳමාලිං,ඬඞසඳමාලිං
ප්‍රියංගනී,ඞප්‍රියංගනී,ඞප්‍රියංගනී
කසුනි,කසුනි,කසුනි
සිසිර,ඕිසිර,ඕිසිර
රත්නායක,රත්නායක,රත්නායක
රාජපක්‍ෂ,රාජපක්ත,රාජපක්ත
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
බස්නායක,බස්නායක,බස්නායක
පාතිමා,පාචතිම්,පාචතිම්
ජයසිංහ,ජයසිංහ,ජයසිංහ
කීර්තිසිංහ,කිීර්තිසිංහ,කිීර්තිසිංහ
ජයන්ති,පයන්සි,පයන්සි
ඉහලගමගේ,ඉහලගමගේ,ඉහලගමගේ
ආරච්චිල්ලාගේ,ආරච්චිල්ලාගේ,ආරච්චිල්ලාගේ
මොහිදීන්,ඞහමමාහිදීන්,ඞහමමාහිදීන්
කුලතුංග,කුලතුංග,කුලතුංග
මංජු,මිජු,මිජු
නයනජිත්,නයනජිත්,නයනජිත්
ඒකනායක,චකනායක,චකනායක
දේවගේ,ඈඇඝදේවගේ,ඈඇඝදේවගේ
සජිත්,සිරිත්,සිරිත්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ගෙදර,ගෙදර,ගෙදර
නෙවිල්,නෙවිල්,නෙවිල්
ආරියදාස,ආරයදාස,ආරයදාස
වෙම්බඩි,වෙම්බඩි,වෙම්බඩි
විදානලාගේ,චිදානලාගේ,චිදානලාගේ
විජිතා,චිපිතා,චිපිතා
දිල්ශාන්,දිල්ශාන්,දිල්ශාන්
හතරසිංහ,හතරසිංහ,හතරසිංහ
පතිරගේ,පතිරගේ,පතිරගේ
කෝස්මපටබැඳිගේ,කෝස්මපටබැඳගේ,කෝස්මපටබැඳගේ
කනත්තේ,කනත්තේ,කනත්තේ
ජයරත්න,ජයරත්න,ජයරත්න
මෙත්ගී,ඞඑමෙන්ගි,ඞඑමෙන්ගි
නන්දිරත්න,නන්දිරන්න,නන්දිරන්න
ජයසේකර,ජයසේකර,ජයසේකර
ඇල්ලඋඩ,ඇල්ලලඩ්,ඇල්ලලඩ්
සේනාදිරන්නැහෙලාගේ,ස්නාදිරන්නැහෙලාලේ,ස්නාදිරන්නැහෙලාලේ
හේවාකෝපර,භේවාකෝපර,භේවාකෝපර
පත්මා,පත්මා,පත්මා
හොරතල්,හභොරතනල්,හභොරතනල්
සෙනරත්,සෙනරත්,සෙනරත්
අංජන,ඞඅංජන,ඞඅංජන
සමරසිංහ,උසඛසමරසිංහ,උසඛසමරසිංහ
ස්ටෙෆාන්,ඇස්ටෙෆාන්,ඇස්ටෙෆාන්
ගල්මන්ගොඩ,ගල්මන්ගොඩ,ගල්මන්ගොඩ
විපුලනායක,වචිපුලනායක,වචිපුලනායක
කලුතොට,කලූතොට,කලූතොට
ධර්මරාජ්,ධර්මරාජ්,ධර්මරාජ්
දසනායක,දසනායක,දසනායක
පිදුර්සනා,පිදුර්සනා,පිදුර්සනා
බන්ඩා,බන්ඩා,බන්ඩා
බාලසුබ්‍රමනියම්,බාලසුබමනියම්,බාලසුබමනියම්
සම්පත්,සම්පත්,සම්පත්
සුරේෂ්,සුරේෂ්,සුරේෂ්
රෝහණ,රෝනෂවණ,රෝනෂවණ
ජයකොඩි,ජයකොඩි,ජයකොඩි
අසන්කුද්දූස්,අසන්කුද්දූස්,අසන්කුද්දූස්
කුමාර,කුමාර,කුමාර
අජිත්,අපිත්,අපිත්
වසන්ත,චසන්ත,චසන්ත
විමලසිංහ,විමලසිංහ,විමලසිංහ
අළුත්ගම,අළුත්ගම,අළුත්ගම
වරුන,චවරුන,චවරුන
අතුලගේ,අතුලගේ,අතුලගේ
සිත්ති,සිත්ති,සිත්ති
නන්දනී,අශනන්දනීං,අශනන්දනීං
තුසිත,එස,එස
තිසේරා,තිසේරා,තිසේරා
එදිරිවීර,චදිර්වීථල,චදිර්වීථල
මයිකල්,මයිකල්,මයිකල්
බුඅංග,බුඅංංග,බුඅංංග
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේ
යශෝධරා,යශෝධරා,යශෝධරා
රත්නායක,රත්නායක,රත්නායක
ගාමිණී,ගාම්ම,ගාම්ම
අබේනායක,අබේනායක,අබේනායක
ශිරෝමා,ශෂිරෝමා,ශෂිරෝමා
ලියනගේ,ලියනගේ,ලියනගේ
කොටපොල,කොටපොල,කොටපොල
කිරුෂ්ණස්වාමි,කිරැෂ්ණස්වාමි,කිරැෂ්ණස්වාමි
වඩිවේල්,ඞවඩිවේල්,ඞවඩිවේල්
සිත්ති,සිතන්න,සිතන්න
ලක්‍ෂ්මන්,ඉලක්ෂ්මන්,ඉලක්ෂ්මන්
ක්‍රිෂ්ණකුමාර්,ක්‍රිෂ්ණකුමාර්,ක්‍රිෂ්ණකුමාර්
කේශාලිකා,කේශාලිකා,කේශාලිකා
ඥාණසේකරන්,ඥාණසේකරන්,ඥාණසේකරන්
හෙට්ටිගේ,මඑහට්ටිගේ,මඑහට්ටිගේ
කුමාරි,බමාර්,බමාර්
මොහමඩ්,මොහමඩ්,මොහමඩ්
සැමියල්,සැම්යල්,සැම්යල්
ප්‍රදීප්,ප්‍රදිප්,ප්‍රදිප්
නෙවිල්,නෙවිල්,නෙවිල්
විශාක,චිශාක,චිශාක
ජයරුවන්,ජයරුවන්,ජයරුවන්
වාසනා,චාසනා,චාසනා
මොහමඩ්,මොහමඩ්,මොහමඩ්
ක්‍රිසාන්ත,ංක්‍රිසාන්න,ංක්‍රිසාන්න
සාන්ත,සාන්ත,සාන්ත
වසන්ත,වසන්ත,වසන්ත
සුරෙස්කුමාර්,සුරෙස්කුමාර්,සුරෙස්කුමාර්
ඉනෝකා,ඞමනෝකාං,ඞමනෝකාං
ආරච්චිගේ,ඇආරච්චිගේ,ඇආරච්චිගේ
අමරවංශ,අමරවංශ,අමරවංශ
ධර්මසිරි,ේශඇධ්‍යර්මසිරි,ේශඇධ්‍යර්මසිරි
සීලවතී,සීලවත්්,සීලවත්්
හිමාලි,ේඨහිමාලි,ේඨහිමාලි
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
මුණසිං,ඞමුණසිං,ඞමුණසිං
පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ
ගෙදර,ගෙෙර,ගෙෙර
කුමාර,කුමාර,කුමාර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ලක්ෂාන්,ේශලකක්‍ෂාන්,ේශලකක්‍ෂාන්
සෙව්වන්දි,සෙව්වන්දිං,සෙව්වන්දිං
හිරාන්ත,හිරාන්න,හිරාන්න
රන්පටි,එන්ට,එන්ට
ශ්‍රීනාත්,ශ්‍රීනාත්,ශ්‍රීනාත්
ලියනගේ,ලියනගේ,ලියනගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
බංඩාගේ,ඞඈබංඩාගේ,ඞඈබංඩාගේ
කරුණාපේඩිගේ,කරැණාජේඩිගේ,කරැණාජේඩිගේ
උස්ලියනගේ,උස්ලියනගේ,උස්ලියනගේ
දිල්වි,දිල්ව්ි,දිල්ව්ි
මදුශංක,මදුශංක,මදුශංක
සූරියආරච්චි,සූරයආරච්චි,සූරයආරච්චි
දිසානායක,දිසානායක,දිසානායක
මොහමඩ්,මොහමඩ්,මොහමඩ්
ඒකනායක,ඞචිකනායක,ඞචිකනායක
අරුණ,අරුණ,අරුණ
ගන්ගොඩ,ගන්ගොඩ,ගන්ගොඩ
කුමාර,කුමාර,කුමාර
මහින්ද,මහින්ද,මහින්ද
ජයසුන්දර,ජයසුන්දර,ජයසුන්දර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
අන්සාර්,අන්සාර්,අන්සාර්
කුමාර,කුමාර,කුමාර
සත්සර,සත්සර,සත්සර
විජේසිංහ,ඞචිජේසිංහං,ඞචිජේසිංහං
සෙලම්බරන්,සෙලම්බරන්,සෙලම්බරන්
මොහමඩ්,මොහමඩ්,මොහමඩ්
ලලිත්,ලළිති,ලළිති
උම්මු,උම්මු,උම්මු
මොහොම්මඩ්,මොහොම්මඩ්,මොහොම්මඩ්
වියත්නාවේ,වියත්නාවේ,වියත්නාවේ
කෙනෙත්,කෙනෙත්,කෙනෙත්
රංජන්,රජන්,රජන්
රාජමංත්‍රීලාගේ,රාජමංත්‍රීලාගේ,රාජමංත්‍රීලාගේ
දිසනායක,දිසනායක,දිසනායක
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
පෙරේරා,පෙරේරා,පෙරේරා
ජයමාලි,ජයමාලි,ජයමාලි
ස්වර්ණකාන්ති,ස්වර්ණකාන්ති,ස්වර්ණකාන්ති
ජනක,ජනය,ජනය
පාරමී,පාරම්,පාරම්
ඔස්වත්ත,ඔස්වන්ත,ඔස්වන්ත
ගයානාත්,ඞගයානාත්,ඞගයානාත්
ලන්සගේ,ඞඈලන්සගේ,ඞඈලන්සගේ
කුමුදු,කුමුදු,කුමුදු
සෙවනුගේ,සෙවනුගේ,සෙවනුගේ
චාමර,චාමර,චාමර
ඒකනායක,චිකනායක,චිකනායක
සන්ධ්‍යා,සන්ධ්‍යා,සන්ධ්‍යා
නිරෝස්,නිරෝස්,නිරෝස්
අත්තනායක,අත්තනායක,අත්තනායක
හෙට්ටියා,නෙට්ටියා,නෙට්ටියා
සුරවීර,සුරවීර,සුරවීර
ගොඩයාල,ගොඩයාල,ගොඩයාල
දිසානායක,දිසානායක,දිසානායක
අළුත්වත්ත,අළුන්වත්ත,අළුන්වත්ත
හේවාගේ,හේවාගේ,හේවාගේ
බංඩාර,බංඩාර,බංඩාර
හර්ෂන,ඨඞතරිෂන,ඨඞතරිෂන
ගමගේ,ඨඞගමගේ,ඨඞගමගේ
හදුනා,හදුනා,හදුනා
ලෂිනි,ලෂිනි,ලෂිනි
පූර්නිමා,පූර්නිමා,පූර්නිමා
චන්ද්‍රප්පෙරුම,චන්ද්‍රප්පෙරුම,චන්ද්‍රප්පෙරුම
නෆීස්,නෆීස්,නෆීස්
කෙද්දගොඩ,කෙද්දගොඩ,කෙද්දගොඩ
සුදර්ශන,සුදර්ශන,සුදර්ශන
තෙපුවානසිංහ,තෙපුවානසිංහ,තෙපුවානසිංහ
ලලිත්,ලලිත්ධධ,ලලිත්ධධ
නිමේෂ,ඉඛනිමේෂ,ඉඛනිමේෂ
හේරත්,හේරත්,හේරත්
සිවරාජා,සිවරාජා,සිවරාජා
සමරකෝන්,සමරකෝන්ං,සමරකෝන්ං
මොහම්මදු,මොහම්මදු,මොහම්මදු
පද්මසීලි,පද්මසිළි,පද්මසිළි
මුතුමාල,මුතුමාල,මුතුමාල
පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ
මදුරප්පෙරුමගේ,මදුරප්පෙරැමගේ,මදුරප්පෙරැමගේ
හපුතන්තිරිගේ,හපුතන්නිරගේ,හපුතන්නිරගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
ජයසේන,ජයසේන,ජයසේන
පැස්කුවල්ගේ,පැස්කුවල්ගේ,පැස්කුවල්ගේ
උදයසිරි,ඊදගසිට,ඊදගසිට
නානායක්කාර,නානායක්කාර,නානායක්කාර
කුමාරිහාමි,කුමාරනාම්,කුමාරනාම්
මොහාමඩ්,මොහාමඩ්,මොහාමඩ්
බාසන්බෙක්,බාසන්බෙක්,බාසන්බෙක්
අකලංක,අකලංක,අකලංක
රත්නායක,රත්නායක,රත්නායක
ලක්ෂාන්,ඞඉෆක්‍ෂාන්,ඞඉෆක්‍ෂාන්
ඩෝමිනික්කා,ඩෝම්නික්කා,ඩෝම්නික්කා
පබසරා,පබසරා,පබසරා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
වලව්වේ,චලවචව්වේ,චලවචව්වේ
දිල්හානි,දිල්හානි,දිල්හානි
නිලාබ්දීන්,නිලාබදීන්,නිලාබදීන්
සුරේනි,සුරේනි,සුරේනි
දිල්ශාන්,දිල්ශාන්,දිල්ශාන්
ක්‍රිෂ්නරාජා,ච්‍රිෂ්නරාජා,ච්‍රිෂ්නරාජා
ප්‍රියදර්ශනී,ප්‍රියදර්ශනී,ප්‍රියදර්ශනී
ලක්‍ෂිත,ලක්ෂිත,ලක්ෂිත
තංගවේලු,තංගවේලුූ,තංගවේලුූ
මාතර,මාතර,මාතර
රමේස්කුමාර්,රමේස්කුමාර්,රමේස්කුමාර්
සන්ධ්‍යා,සන්ධ්‍යා,සන්ධ්‍යා
විල්බට්,විල්බට්,විල්බට්
අංජුල,අංරුළු,අංරුළු
ඉන්ද්‍රාණි,ඞඉන්දාණි,ඞඉන්දාණි
නන්දනී,නන්දනී,නන්දනී
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
අප්පුහාමි,අර්පුනාම්,අර්පුනාම්
දිල්රුක්ෂි,ඞඅදිල්රැක්ෂි,ඞඅදිල්රැක්ෂි
ඇන්ජලෝ,ඇන්ජලෝ,ඇන්ජලෝ
ආරච්චි,ආරච්චි,ආරච්චි
ගුණරත්න,ගුණරන්න,ගුණරන්න
කංකානමලාගේ,කංකානමලාගේ,කංකානමලාගේ
මොහොමඩ්,මොහොමඩ්,මොහොමඩ්
ගිහාන්,ඞගිනාන්,ඞගිනාන්
බංඩාර,බංඩාර,බංඩාර
ජයසුන්දර,ජයසුන්දර,ජයසුන්දර
විජයරෙත්නම්,විජයරෙන්නම්,විජයරෙන්නම්
ඇහැලපිටිය,ඇහැලපිටිය,ඇහැලපිටිය
මුදලිගේ,මුදලිගේ,මුදලිගේ
පාතිමා,පාතිමා,පාතිමා
පෙච්චම්මා,පෙච්චම්මා,පෙච්චම්මා
පෙරමුණු,පෙරමුණු,පෙරමුණු
ජයසිංහ,ජයසිංං,ජයසිංං
ජුනෙයිඩ්,ජුනෙයිඩ්,ජුනෙයිඩ්
අකීලා,අබිලා,අබිලා
කුමාර,කුමාරම,කුමාරම
උරුමිසිලාගේ,උරුම්සිලාගේ,උරුම්සිලාගේ
නිලුකා,නිලුකා,නිලුකා
හග්ගල්ලගේ,තග්ගල්ලගේ,තග්ගල්ලගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
ෆාසිල්,පාසල්,පාසල්
සිංගාරපිල්ලෙ,සිංගාරපිල්ලෙ,සිංගාරපිල්ලෙ
දුග්ගන්නාරාලහාමිලාගේ,ග්ගන්නාරාලභාම්ලාද,ග්ගන්නාරාලභාම්ලාද
පසංගනී,පසංගනී,පසංගනී
වත්තගේ,චත්තගේ,චත්තගේ
